state,county,UFO_sightings,Population,Median Age,Median Household Income,percent female,percent HS,percent AF,UFO_percapita
ga,crisp county,1,23521.0,37.8,35240.0,52.03860380085881,23.353598911610902,0.0,4.251519918370818e-05
ga,dawson county,1,22387.0,40.8,53525.0,50.60526198240049,21.231071604055927,0.406485906999598,4.466878098896681e-05
ga,dekalb county,1,700308.0,34.6,50856.0,52.1569081032917,14.275575889465777,0.08282070174837358,1.4279431335926478e-06
ga,douglas county,1,133486.0,35.3,52691.0,51.87360472259264,19.83728630717828,0.06817194312512173,7.491422321441949e-06
ga,fayette county,4,107105.0,42.7,79977.0,51.61010223612343,14.169273143177255,0.22874749078007564,3.734652910695112e-05
ga,floyd county,2,96147.0,38.0,40821.0,51.52214837696444,20.46345699813827,0.1060875534338045,2.080148106545186e-05
ga,forsyth county,10,182916.0,37.3,86569.0,50.281003302062146,13.075947429421156,0.032801941874959,5.4669903124931666e-05
ga,fulton county,10,948554.0,34.3,56857.0,51.25359230997919,12.006907355827924,0.06662773020829599,1.054236237473038e-05
ga,greene county,1,16091.0,46.9,42565.0,50.5934994717544,27.108321421912873,0.04350257908147412,6.214654154496302e-05
ga,gwinnett county,10,825911.0,34.0,60445.0,50.77665753331776,14.689597305278657,0.07785342488476361,1.2107842128268059e-05
ga,hall county,4,182841.0,34.9,50853.0,49.97949037688483,19.05918256846112,0.06617771725160111,2.1876931322843344e-05
ga,hart county,1,25348.0,42.9,35615.0,50.33927726053338,26.566198516648253,0.0,3.9450844248066906e-05
ga,heard county,1,11708.0,39.9,39909.0,50.316023231978136,25.888281516911515,0.0,8.541168431841476e-05
ga,henry county,1,206349.0,35.6,60781.0,52.039021269790496,19.380757842296305,0.3852696160388468,4.846158692312538e-06
ga,houston county,3,143205.0,34.4,54893.0,51.30407457840159,18.497259173911527,1.9468593973674102,2.0948989211270555e-05
ga,lee county,1,28631.0,36.1,60104.0,49.41846250567566,19.19597638922846,0.38070622751562994,3.4927176836296324e-05
ga,liberty county,1,64899.0,27.4,43832.0,50.16410114177414,17.872386323363994,9.957010123422549,1.5408557913064918e-05
ga,lowndes county,3,111334.0,29.5,37365.0,50.985323441177,17.390913826863315,2.630822569924731,2.6945946431458493e-05
ga,mcduffie county,1,21697.0,38.4,37487.0,52.48651887357699,24.090888141217683,0.032262524773010094,4.608932110430013e-05
ga,meriwether county,1,21695.0,42.1,37333.0,52.17792117999539,27.398017976492277,0.0,4.6093569946992393e-05
ga,muscogee county,2,194949.0,33.3,41339.0,51.61760255246244,17.567158590195383,5.447065642809145,1.0259093403915896e-05
ga,newton county,3,100808.0,34.9,50580.0,52.64661534798826,20.40512657725577,0.0823347353384652,2.9759542893421157e-05
